Title,Platforms,Reviews,Players,Positives,Review_summary,Released,Price,Discount,Final_price,Main_tag,Url,All_tags
Tom Clancy's EndWar™,Win,773,773,79,Mostly Positive,"25 Feb, 2009","9,99€",0,"9,99€",Strategy,https://store.steampowered.com/app/21800/Tom_Clancys_EndWar/?snr=1_7_7_240_150_24,"Strategy, RTS, Tactical"
Wildlife Park 3,Win,361,0,0,None,"12 May, 2014","9,99€",None,0,Simulation,https://store.steampowered.com/app/287200/Wildlife_Park_3/?snr=1_7_7_240_150_24,"Simulation, Strategy, Casual"
Jurassic World Evolution: Cretaceous Dinosaur Pack,Win,150,150,90,Very Positive,"13 Dec, 2018","4,99€",0,"4,99€",Simulation,https://store.steampowered.com/app/979930/Jurassic_World_Evolution_Cretaceous_Dinosaur_Pack/?snr=1_7_7_240_150_24,"Simulation, Strategy, Dinosaurs"
AirMech Strike,Win,10269,10269,84,Very Positive,"30 Mar, 2018",0,None,0,Free to Play,https://store.steampowered.com/app/206500/AirMech_Strike/?snr=1_7_7_240_150_24,"Free to Play, Strategy, Multiplayer"
GROSS,Win,127,127,85,Very Positive,"11 Jan, 2023","12,79€",0,"12,79€",Tower Defense,https://store.steampowered.com/app/1647420/GROSS/?snr=1_7_7_240_150_24,"Tower Defense, FPS, Score Attack"
Siege Survival: Gloria Victis,Win,1051,1051,79,Mostly Positive,"18 May, 2021","24,99€",0,"24,99€",Singleplayer,https://store.steampowered.com/app/1167140/Siege_Survival_Gloria_Victis/?snr=1_7_7_240_150_24,"Singleplayer, City Builder, Immersive Sim"
"Warhammer 40,000: Sanctus Reach - Sons of Cadia",Win,39,39,74,Mostly Positive,"9 Nov, 2017","14,79€",0,"14,79€",Strategy,https://store.steampowered.com/app/716660/Warhammer_40000_Sanctus_Reach__Sons_of_Cadia/?snr=1_7_7_240_150_24,"Strategy, Warhammer 40K"
Cursed Treasure 2,"Win, Mac, Linux",389,389,84,Very Positive,"21 Jul, 2017","4,99€",0,"4,99€",Tower Defense,https://store.steampowered.com/app/643960/Cursed_Treasure_2/?snr=1_7_7_240_150_24,"Tower Defense, Strategy, Indie"
Disciples III: Reincarnation,Win,1073,0,0,None,"14 Feb, 2014","9,99€",0,"9,99€",RPG,https://store.steampowered.com/app/10270/Disciples_III_Reincarnation/?snr=1_7_7_240_150_24,"RPG, Strategy, Turn-Based Strategy"
Content Pack - Europa Universalis IV: Cradle of Civilization,"Win, Mac, Linux",30,0,0,None,"16 Nov, 2017","7,99€",0,"7,99€",Strategy,https://store.steampowered.com/app/721341/Content_Pack__Europa_Universalis_IV_Cradle_of_Civilization/?snr=1_7_7_240_150_24,"Strategy, Simulation"
Dungeons 3 - Clash of Gods,"Win, Mac, Linux",65,65,83,Very Positive,"28 Sep, 2018","9,99€",0,"9,99€",Simulation,https://store.steampowered.com/app/824610/Dungeons_3__Clash_of_Gods/?snr=1_7_7_240_150_24,"Simulation, Strategy"
Heroes of Annihilated Empires,Win,460,460,88,Very Positive,"22 Nov, 2006","7,99€",0,"7,99€",Strategy,https://store.steampowered.com/app/4800/Heroes_of_Annihilated_Empires/?snr=1_7_7_240_150_24,"Strategy, RTS, Fantasy"
Blitzkrieg 2 Anthology,Win,970,970,84,Very Positive,"16 Sep, 2014","4,99€",0,"4,99€",Strategy,https://store.steampowered.com/app/313500/Blitzkrieg_2_Anthology/?snr=1_7_7_240_150_24,"Strategy, World War II, RTS"
DungeonUp,"Win, Mac",359,359,84,Very Positive,"4 Sep, 2015","3,99€",None,0,Adventure,https://store.steampowered.com/app/388620/DungeonUp/?snr=1_7_7_240_150_24,"Adventure, Indie, Strategy"
Armoured Commander II,Win,393,393,98,Very Positive,"4 Sep, 2021","9,99€",0,"9,99€",Tanks,https://store.steampowered.com/app/1292020/Armoured_Commander_II/?snr=1_7_7_240_150_24,"Tanks, World War II, Roguelike"
Sumerians,Win,221,221,88,Very Positive,"2 Dec, 2020","16,49€",0,"16,49€",Simulation,https://store.steampowered.com/app/1079510/Sumerians/?snr=1_7_7_240_150_24,"Simulation, Strategy, City Builder"
Creeper World 2: Anniversary Edition,"Win, Mac",335,335,91,Very Positive,"16 Nov, 2016","4,99€",0,"4,99€",Strategy,https://store.steampowered.com/app/422920/Creeper_World_2_Anniversary_Edition/?snr=1_7_7_240_150_24,"Strategy, Indie, Simulation"
Love n War: Warlord by Chance,Win,1196,1196,86,Very Positive,"28 May, 2021","2,99€",0,"2,99€",Sexual Content,https://store.steampowered.com/app/1508680/Love_n_War_Warlord_by_Chance/?snr=1_7_7_240_150_24,"Sexual Content, Nudity, NSFW"
Jurassic World Evolution: Herbivore Dinosaur Pack,Win,103,103,95,Very Positive,"17 Sep, 2019","4,99€",0,"4,99€",Simulation,https://store.steampowered.com/app/1107760/Jurassic_World_Evolution_Herbivore_Dinosaur_Pack/?snr=1_7_7_240_150_24,"Simulation, Strategy, Dinosaurs"
Battlestar Galactica Deadlock: Ghost Fleet Offensive,Win,17,17,70,Mostly Positive,"25 Feb, 2020","14,79€",0,"14,79€",Strategy,https://store.steampowered.com/app/1143820/Battlestar_Galactica_Deadlock_Ghost_Fleet_Offensive/?snr=1_7_7_240_150_24,Strategy
Ymir,Win,749,749,71,Mostly Positive,"16 Mar, 2019","29,99€",0,"29,99€",City Builder,https://store.steampowered.com/app/378360/Ymir/?snr=1_7_7_240_150_24,"City Builder, Colony Sim, Strategy"
Yao-Guai Hunter,Win,857,857,83,Very Positive,"3 Apr, 2023","13,29€",0,"13,29€",Roguelike Deckbuilder,https://store.steampowered.com/app/1915510/YaoGuai_Hunter/?snr=1_7_7_240_150_24,"Roguelike Deckbuilder, Replay Value, Roguelike"
ENDLESS™ Legend - Symbiosis,"Win, Mac",70,0,0,None,"24 Jan, 2019","12,99€",0,"12,99€",Strategy,https://store.steampowered.com/app/988450/ENDLESS_Legend__Symbiosis/?snr=1_7_7_240_150_24,"Strategy, RPG, 4X"
Monster Roadtrip Playable character - Zoe,"Win, Mac, Linux",25,25,96,Positive,"21 Oct, 2022","2,99€",0,"2,99€",Strategy,https://store.steampowered.com/app/2147633/Monster_Roadtrip_Playable_character__Zoe/?snr=1_7_7_240_150_24,"Strategy, Indie, Casual"
