Games name,Platforms,Reviewers,,Positive percent,Comment,Released,Price,Discount,Discounted price,Type,URL,All_tags
Grey Hack,"Win, Mac, Linux",1089,1089,90,Very Positive,"14 Dec, 2017","19,99€",0,"19,99€",Hacking,https://store.steampowered.com/app/605230/Grey_Hack/?snr=1_7_7_240_150_12,"Hacking, Simulation, Indie"
SimplePlanes,"Win, Mac",8575,8575,93,Very Positive,"17 Dec, 2015","12,79€",0,"12,79€",Flight,https://store.steampowered.com/app/397340/SimplePlanes/?snr=1_7_7_240_150_12,"Flight, Automation, Sandbox"
Rise to Ruins,"Win, Mac, Linux",6859,6859,88,Very Positive,"14 Oct, 2019","12,49€",0,"12,49€",Tower Defense,https://store.steampowered.com/app/328080/Rise_to_Ruins/?snr=1_7_7_240_150_12,"Tower Defense, Colony Sim, City Builder"
Swords and Sandals Immortals,Win,786,786,87,Very Positive,"9 Mar, 2023","9,75€",0,"9,75€",RPG,https://store.steampowered.com/app/1707650/Swords_and_Sandals_Immortals/?snr=1_7_7_240_150_12,"RPG, Roguelike, Roguelite"
Order of Battle: Red Steel,"Win, Mac",19,19,73,Mostly Positive,"23 Apr, 2020","14,79€",0,"14,79€",Strategy,https://store.steampowered.com/app/1182190/Order_of_Battle_Red_Steel/?snr=1_7_7_240_150_12,"Strategy, Simulation"
RUSSIAPHOBIA,"Win, Mac, Linux",4600,4600,70,Mostly Positive,"25 Dec, 2020","0,99€",None,0,Action,https://store.steampowered.com/app/1184160/RUSSIAPHOBIA/?snr=1_7_7_240_150_12,"Action, Memes, Indie"
Aces & Adventures,Win,1483,1483,91,Very Positive,"23 Feb, 2023","19,50€",0,"19,50€",Deckbuilding,https://store.steampowered.com/app/1815570/Aces__Adventures/?snr=1_7_7_240_150_12,"Deckbuilding, Adventure, Strategy"
NOBUNAGA'S AMBITION: Sphere of Influence,Win,523,523,83,Very Positive,"1 Sep, 2015","59,99€",0,"59,99€",Strategy,https://store.steampowered.com/app/392470/NOBUNAGAS_AMBITION_Sphere_of_Influence/?snr=1_7_7_240_150_12,"Strategy, Historical, Grand Strategy"
TerraScape,Win,321,321,86,Very Positive,"5 Apr, 2023","12,99€",0,"12,99€",Early Access,https://store.steampowered.com/app/2290000/TerraScape/?snr=1_7_7_240_150_12,"Early Access, City Builder, Puzzle"
Hearts of Iron III,"Win, Mac",4575,4575,77,Mostly Positive,"7 Aug, 2009","9,99€",0,"9,99€",Grand Strategy,https://store.steampowered.com/app/25890/Hearts_of_Iron_III/?snr=1_7_7_240_150_12,"Grand Strategy, Strategy, World War II"
