,Games name,Platforms,Multiplatform,Reviewers,Unnamed: 3,Positive percent,Comment,Released,Day_since_release,Price,Discount,On_sale,Discounted price,Type,URL,All_tags
61,Persona 4 Golden,Win,0,55854.0,55854,97,Overwhelmingly Positive,"13 Jun, 2020",1202,"19,99€",100.0,1,0,JRPG,https://store.steampowered.com/app/1113000/Persona_4_Golden/?snr=1_7_7_240_150_1,"JRPG, Great Soundtrack, Story Rich"
62,Crusader Kings III: Tours & Tournaments,"Win, Mac, Linux",1,1159.0,1159,79,Mostly Positive,"11 May, 2023",140,"29,99€",0.0,0,"29,99€",Strategy,https://store.steampowered.com/app/2311920/Crusader_Kings_III_Tours__Tournaments/?snr=1_7_7_240_150_1,"Strategy, RPG, Simulation"
63,Desperados III,"Win, Mac, Linux",1,8346.0,8346,96,Overwhelmingly Positive,"16 Jun, 2020",1199,"39,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/610370/Desperados_III/?snr=1_7_7_240_150_1,"Strategy, Real Time Tactics, Stealth"
64,Far Cry® Primal,Win,0,25552.0,25552,85,Very Positive,"29 Feb, 2016",2768,"49,99€",100.0,1,0,Open World,https://store.steampowered.com/app/371660/Far_Cry_Primal/?snr=1_7_7_240_150_1,"Open World, Survival, Action"
65,Planet Zoo: Oceania Pack,Win,0,30.0,30,80,Positive,"19 Sep, 2023",9,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/2502240/Planet_Zoo_Oceania_Pack/?snr=1_7_7_240_150_1,"Strategy, Casual, Simulation"
66,Shadow Gambit: The Cursed Crew,Win,0,1786.0,1786,95,Overwhelmingly Positive,"17 Aug, 2023",42,"39,99€",0.0,0,"39,99€",Strategy,https://store.steampowered.com/app/1545560/Shadow_Gambit_The_Cursed_Crew/?snr=1_7_7_240_150_1,"Strategy, RPG, Tactical RPG"
67,Frostpunk,"Win, Mac",1,78195.0,78195,92,Very Positive,"24 Apr, 2018",1983,"29,99€",0.0,0,"29,99€",City Builder,https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_240_150_1,"City Builder, Survival, Resource Management"
68,Company of Heroes 3,Win,0,11503.0,0,0,,"23 Feb, 2023",217,"59,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/1677280/Company_of_Heroes_3/?snr=1_7_7_240_150_1,"Strategy, Wargame, Action RTS"
69,OCTOPATH TRAVELER II,Win,0,6037.0,6037,95,Overwhelmingly Positive,"24 Feb, 2023",216,"59,99€",100.0,1,0,RPG,https://store.steampowered.com/app/1971650/OCTOPATH_TRAVELER_II/?snr=1_7_7_240_150_1,"RPG, Turn-Based, JRPG"
70,Arma 3 Creator DLC: Spearhead 1944,Win,0,588.0,0,0,,"25 Jul, 2023",65,"17,99€",100.0,1,0,Action,https://store.steampowered.com/app/1175380/Arma_3_Creator_DLC_Spearhead_1944/?snr=1_7_7_240_150_1,"Action, Simulation, Strategy"
71,War Robots,Win,0,18953.0,0,0,,"4 Apr, 2018",2003,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/767560/War_Robots/?snr=1_7_7_240_150_1,"Free to Play, Robots, Action"
72,Call of Duty®: Modern Warfare® 2 (2009),"Win, Mac",1,29320.0,29320,93,Very Positive,"11 Nov, 2009",5069,"19,99€",100.0,1,0,Action,https://store.steampowered.com/app/10180/Call_of_Duty_Modern_Warfare_2_2009/?snr=1_7_7_240_150_1,"Action, FPS, Multiplayer"
73,Desynced,Win,0,652.0,652,85,Very Positive,"15 Aug, 2023",44,"28,99€",0.0,0,"28,99€",Strategy,https://store.steampowered.com/app/1450900/Desynced/?snr=1_7_7_240_150_1,"Strategy, Automation, Base Building"
74,Dragon Age™ Inquisition,Win,0,12041.0,12041,75,Mostly Positive,"4 Jun, 2020",1211,"39,99€",100.0,1,0,RPG,https://store.steampowered.com/app/1222690/Dragon_Age_Inquisition/?snr=1_7_7_240_150_1,"RPG, Open World, Character Customization"
75,Techtonica,Win,0,846.0,846,83,Very Positive,"18 Jul, 2023",72,"28,99€",0.0,0,"28,99€",Simulation,https://store.steampowered.com/app/1457320/Techtonica/?snr=1_7_7_240_150_1,"Simulation, Automation, Building"
76,Football Manager 2024,"Win, Mac",1,,0,0,,"6 Nov, 2023",-38,"59,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/2252570/Football_Manager_2024/?snr=1_7_7_240_150_1,"Simulation, Sports, Strategy"
77,Arma 3 Apex,"Win, Mac",1,2319.0,2319,82,Very Positive,"11 Jul, 2016",2635,"19,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/395180/Arma_3_Apex/?snr=1_7_7_240_150_1,"Simulation, Action, Military"
78,Farthest Frontier,Win,0,13615.0,13616,85,Very Positive,"9 Aug, 2022",415,"28,99€",0.0,0,"28,99€",Early Access,https://store.steampowered.com/app/1044720/Farthest_Frontier/?snr=1_7_7_240_150_1,"Early Access, City Builder, Survival"
79,Victoria 3,"Win, Mac, Linux",1,23212.0,0,0,,"25 Oct, 2022",338,"49,99€",0.0,0,"49,99€",Grand Strategy,https://store.steampowered.com/app/529340/Victoria_3/?snr=1_7_7_240_150_1,"Grand Strategy, Economy, Strategy"
80,Steel Division 2,Win,0,6366.0,6366,79,Mostly Positive,"20 Jun, 2019",1561,"39,99€",0.0,0,"39,99€",Strategy,https://store.steampowered.com/app/919640/Steel_Division_2/?snr=1_7_7_240_150_1,"Strategy, RTS, World War II"
81,Age of Wonders 4,Win,0,7828.0,7828,80,Very Positive,"2 May, 2023",149,"49,99€",0.0,0,"49,99€",Strategy,https://store.steampowered.com/app/1669000/Age_of_Wonders_4/?snr=1_7_7_240_150_1,"Strategy, 4X, Fantasy"
82,Xenonauts 2,Win,0,1083.0,1083,76,Mostly Positive,"18 Jul, 2023",72,"39,99€",0.0,0,"39,99€",RPG,https://store.steampowered.com/app/538030/Xenonauts_2/?snr=1_7_7_240_150_1,"RPG, Strategy, Choices Matter"
83,Star Trek Online,Win,0,18288.0,18288,78,Mostly Positive,"31 Jan, 2012",4258,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/9900/Star_Trek_Online/?snr=1_7_7_240_150_1,"Free to Play, Sci-fi, Massively Multiplayer"
84,UNO,Win,0,35594.0,35594,73,Mostly Positive,"3 Jan, 2017",2459,"9,99€",100.0,1,0,Card Game,https://store.steampowered.com/app/470220/UNO/?snr=1_7_7_240_150_1,"Card Game, Multiplayer, Tabletop"
85,Elite Dangerous,Win,0,68763.0,68763,76,Mostly Positive,"2 Apr, 2015",3101,"24,99€",100.0,1,0,Space Sim,https://store.steampowered.com/app/359320/Elite_Dangerous/?snr=1_7_7_240_150_1,"Space Sim, Space, Open World"
86,Timberborn,"Win, Mac",1,18777.0,18777,95,Overwhelmingly Positive,"15 Sep, 2021",743,"24,50€",0.0,0,"24,50€",Early Access,https://store.steampowered.com/app/1062090/Timberborn/?snr=1_7_7_240_150_1,"Early Access, City Builder, Colony Sim"
87,Tabletop Simulator,"Win, Mac, Linux",1,36300.0,36300,96,Overwhelmingly Positive,"5 Jun, 2015",3037,"19,99€",0.0,0,"19,99€",Tabletop,https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_240_150_1,"Tabletop, Board Game, Simulation"
88,Total War: WARHAMMER III - Champions of Chaos,"Win, Mac, Linux",1,823.0,0,0,,"23 Aug, 2022",401,"15,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/1824060/Total_War_WARHAMMER_III__Champions_of_Chaos/?snr=1_7_7_240_150_1,"Strategy, Action, Violent"
89,We Who Are About To Die,Win,0,4445.0,4445,89,Very Positive,"14 Nov, 2022",318,"21,99€",0.0,0,"21,99€",Character Customization,https://store.steampowered.com/app/973230/We_Who_Are_About_To_Die/?snr=1_7_7_240_150_1,"Character Customization, Action Roguelike, Strategy"
90,Yu-Gi-Oh! Duel Links,Win,0,40555.0,40555,83,Very Positive,"16 Nov, 2017",2142,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/?snr=1_7_7_240_150_1,"Free to Play, Card Game, Anime"
91,Wandering Sword,Win,0,3798.0,3798,87,Very Positive,"14 Sep, 2023",14,"24,50€",100.0,1,0,RPG,https://store.steampowered.com/app/1876890/Wandering_Sword/?snr=1_7_7_240_150_1,"RPG, Martial Arts, Pixel Graphics"
92,Thronefall,"Win, Mac",1,5258.0,5258,97,Overwhelmingly Positive,"2 Aug, 2023",57,"6,89€",0.0,0,"6,89€",Strategy,https://store.steampowered.com/app/2239150/Thronefall/?snr=1_7_7_240_150_1,"Strategy, Tower Defense, City Builder"
93,Car Mechanic Simulator 2021,Win,0,20166.0,20166,96,Overwhelmingly Positive,"11 Aug, 2021",778,"24,50€",0.0,0,"24,50€",Simulation,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_240_150_1,"Simulation, Automobile Sim, Sandbox"
94,Yu-Gi-Oh! Master Duel,Win,0,64556.0,64556,76,Mostly Positive,"18 Jan, 2022",618,0,100.0,1,0,Card Game,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/?snr=1_7_7_240_150_1,"Card Game, Free to Play, Strategy"
95,The Escapists 2,"Win, Mac, Linux",1,21861.0,21861,90,Very Positive,"21 Aug, 2017",2229,"19,99€",100.0,1,0,Multiplayer,https://store.steampowered.com/app/641990/The_Escapists_2/?snr=1_7_7_240_150_1,"Multiplayer, Strategy, Pixel Graphics"
96,Albion Online,"Win, Mac, Linux",1,63989.0,63989,79,Mostly Positive,"16 May, 2018",1961,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/761890/Albion_Online/?snr=1_7_7_240_150_1,"Free to Play, MMORPG, Open World"
97,Don't Starve Together,"Win, Mac, Linux",1,282084.0,282084,95,Overwhelmingly Positive,"21 Apr, 2016",2716,"14,99€",0.0,0,"14,99€",Survival,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_240_150_1,"Survival, Open World Survival Craft, Multiplayer"
98,Divinity: Original Sin 2 - Definitive Edition,"Win, Mac",1,147307.0,147307,95,Overwhelmingly Positive,"14 Sep, 2017",2205,"44,99€",0.0,0,"44,99€",Tactical RPG,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_240_150_1,"Tactical RPG, RPG, Turn-Based Strategy"
