,Games name,Platforms,Multiplatform,Reviewers,Unnamed: 3,Positive percent,Comment,Released,Day_since_release,Price,Discount,On_sale,Discounted price,Type,URL,All_tags
1755,Ancestors Legacy,Win,0,4824.0,4824,80,Very Positive,"22 May, 2018",1955,"34,99€",0.0,0,"34,99€",Strategy,https://store.steampowered.com/app/620590/Ancestors_Legacy/?snr=1_7_7_240_150_19,"Strategy, RTS, Medieval"
1756,Mud and Blood,Win,0,457.0,457,90,Very Positive,"30 Nov, 2021",667,"10,79€",0.0,0,"10,79€",Early Access,https://store.steampowered.com/app/1391530/Mud_and_Blood/?snr=1_7_7_240_150_19,"Early Access, Action RTS, Real Time Tactics"
1757,Iron Harvest: Rusviet Revolution,Win,0,117.0,0,0,,"17 Dec, 2020",1015,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/1341701/Iron_Harvest_Rusviet_Revolution/?snr=1_7_7_240_150_19,Strategy
1758,Lumencraft,"Win, Mac, Linux",1,793.0,793,78,Mostly Positive,"28 Feb, 2023",212,"19,99€",0.0,0,"19,99€",Exploration,https://store.steampowered.com/app/1713810/Lumencraft/?snr=1_7_7_240_150_19,"Exploration, Action, Action RPG"
1759,Total War: ROME II - Beasts of War Unit Pack,Win,0,168.0,0,0,,"17 Feb, 2014",3510,"2,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/267630/Total_War_ROME_II__Beasts_of_War_Unit_Pack/?snr=1_7_7_240_150_19,"Strategy, Turn-Based Strategy, Rome"
1760,Overdungeon,"Win, Mac",1,2744.0,2744,79,Mostly Positive,"22 Aug, 2019",1498,"14,79€",0.0,0,"14,79€",Strategy,https://store.steampowered.com/app/919370/Overdungeon/?snr=1_7_7_240_150_19,"Strategy, Indie, RPG"
1761,Northgard - The Official Soundtrack,Music,0,21.0,21,95,Positive,"9 Feb, 2021",961,"4,49€",0.0,0,"4,49€",Strategy,https://store.steampowered.com/app/1236370/Northgard__The_Official_Soundtrack/?snr=1_7_7_240_150_19,"Strategy, Indie, Simulation"
1762,Age of Reforging:The Freelands,Win,0,120.0,120,72,Mostly Positive,"28 Aug, 2023",31,"24,50€",0.0,0,"24,50€",Early Access,https://store.steampowered.com/app/1161830/Age_of_ReforgingThe_Freelands/?snr=1_7_7_240_150_19,"Early Access, Adventure, Open World"
1763,Naval Action - Leopard,Win,0,40.0,0,0,,"29 Nov, 2019",1399,"38,99€",0.0,0,"38,99€",Massively Multiplayer,https://store.steampowered.com/app/1143890/Naval_Action__Leopard/?snr=1_7_7_240_150_19,"Massively Multiplayer, Indie, Simulation"
1764,Townsmen - A Kingdom Rebuilt,Win,0,569.0,569,78,Mostly Positive,"26 Feb, 2019",1675,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/938380/Townsmen__A_Kingdom_Rebuilt/?snr=1_7_7_240_150_19,"Strategy, Simulation, Casual"
1765,First Feudal,Win,0,457.0,457,73,Mostly Positive,"8 Apr, 2021",903,"18,49€",100.0,1,0,Colony Sim,https://store.steampowered.com/app/733460/First_Feudal/?snr=1_7_7_240_150_19,"Colony Sim, Base Building, Survival"
1766,Dice Tribes: Ambitions,"Win, Mac, Linux",1,79.0,79,100,Very Positive,"15 Jun, 2022",470,"8,19€",100.0,1,0,Strategy,https://store.steampowered.com/app/1965800/Dice_Tribes_Ambitions/?snr=1_7_7_240_150_19,"Strategy, Indie, Board Game"
1767,Rabat Protocol:Metal Rhapsody,Win,0,39.0,39,94,Positive,"27 Jul, 2023",63,"8,79€",0.0,0,"8,79€",Looter Shooter,https://store.steampowered.com/app/2187130/Rabat_ProtocolMetal_Rhapsody/?snr=1_7_7_240_150_19,"Looter Shooter, Twin Stick Shooter, Wargame"
1768,Rough Justice: '84,Win,0,35.0,35,77,Mostly Positive,"13 Mar, 2023",199,"19,99€",0.0,0,"19,99€",Investigation,https://store.steampowered.com/app/1291860/Rough_Justice_84/?snr=1_7_7_240_150_19,"Investigation, Time Management, 1980s"
1769,Dummynation,"Win, Mac, Linux",1,496.0,496,81,Very Positive,"15 Apr, 2022",531,"9,99€",0.0,0,"9,99€",Grand Strategy,https://store.steampowered.com/app/1892030/Dummynation/?snr=1_7_7_240_150_19,"Grand Strategy, Simulation, Military"
1770,"Warhammer 40,000: Gladius - Specialist Pack","Win, Linux",1,40.0,40,90,Positive,"3 Jun, 2021",847,"6,89€",0.0,0,"6,89€",Strategy,https://store.steampowered.com/app/1640850/Warhammer_40000_Gladius__Specialist_Pack/?snr=1_7_7_240_150_19,Strategy
1771,Session: Skate Sim Waterpark & Chris Cole,Win,0,42.0,0,0,,"17 May, 2023",134,"12,99€",0.0,0,"12,99€",Strategy,https://store.steampowered.com/app/2313400/Session_Skate_Sim_Waterpark__Chris_Cole/?snr=1_7_7_240_150_19,"Strategy, Indie, Simulation"
1772,Project Winter - Blackout,Win,0,145.0,145,85,Very Positive,"31 Oct, 2019",1428,"5,69€",0.0,0,"5,69€",Action,https://store.steampowered.com/app/1168030/Project_Winter__Blackout/?snr=1_7_7_240_150_19,"Action, Casual, Indie"
1773,"Warhammer 40,000: Chaos Gate - Daemonhunters - Duty Eternal",Win,0,305.0,0,0,,"6 Dec, 2022",296,"14,99€",0.0,0,"14,99€",Strategy,https://store.steampowered.com/app/2126610/Warhammer_40000_Chaos_GateDaemonhunters__Duty_Eternal/?snr=1_7_7_240_150_19,"Strategy, RPG, Gore"
1774,IRON REBELLION,Win,0,234.0,234,82,Very Positive,"9 Nov, 2021",688,"12,49€",0.0,0,"12,49€",Early Access,https://store.steampowered.com/app/1192900/IRON_REBELLION/?snr=1_7_7_240_150_19,"Early Access, VR, Mechs"
1775,Radical Relocation,Win,0,182.0,182,75,Mostly Positive,"31 Aug, 2020",1123,"9,75€",0.0,0,"9,75€",Driving,https://store.steampowered.com/app/816430/Radical_Relocation/?snr=1_7_7_240_150_19,"Driving, Puzzle, Physics"
1776,Classic Sudoku,"Win, Mac",1,393.0,393,91,Very Positive,"25 Nov, 2019",1403,"4,99€",0.0,0,"4,99€",Casual,https://store.steampowered.com/app/1188330/Classic_Sudoku/?snr=1_7_7_240_150_19,"Casual, Indie, Strategy"
1777,Tasty Planet,"Win, Mac",1,230.0,230,83,Very Positive,"2 Nov, 2017",2156,"4,99€",0.0,0,"4,99€",Casual,https://store.steampowered.com/app/687540/Tasty_Planet/?snr=1_7_7_240_150_19,"Casual, Action, Adventure"
1778,Mage and Monsters,Win,0,724.0,724,91,Very Positive,"12 Oct, 2022",351,"4,99€",100.0,1,0,Auto Battler,https://store.steampowered.com/app/1950440/Mage_and_Monsters/?snr=1_7_7_240_150_19,"Auto Battler, Strategy, Perma Death"
1779,Kubifaktorium,"Win, Linux",1,622.0,622,80,Very Positive,"16 Dec, 2021",651,"16,79€",0.0,0,"16,79€",Automation,https://store.steampowered.com/app/898720/Kubifaktorium/?snr=1_7_7_240_150_19,"Automation, City Builder, Colony Sim"
1780,Cities: Skylines - Content Creator Pack: Modern Japan,"Win, Mac, Linux",1,196.0,0,0,,"26 Mar, 2020",1281,"4,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/1148022/Cities_Skylines__Content_Creator_Pack_Modern_Japan/?snr=1_7_7_240_150_19,"Strategy, Simulation"
1781,Songs of Conquest - Supporter Pack,"Win, Mac",1,43.0,43,97,Positive,"10 May, 2022",506,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/1979540/Songs_of_Conquest__Supporter_Pack/?snr=1_7_7_240_150_19,"Strategy, Adventure"
1782,Arma 2: Operation Arrowhead,Win,0,15858.0,15858,92,Very Positive,"29 Jun, 2010",4839,"14,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/33930/Arma_2_Operation_Arrowhead/?snr=1_7_7_240_150_19,"Simulation, Military, Action"
1783,Railroad Tycoon II Platinum,Win,0,1099.0,1099,88,Very Positive,"4 May, 2007",5991,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/7620/Railroad_Tycoon_II_Platinum/?snr=1_7_7_240_150_19,"Strategy, Management, Trains"
1784,Dragon Cliff,Win,0,6503.0,6503,89,Very Positive,"11 May, 2018",1966,"9,99€",0.0,0,"9,99€",RPG,https://store.steampowered.com/app/758190/Dragon_Cliff/?snr=1_7_7_240_150_19,"RPG, Strategy, Loot"
1785,Tropico 3: Absolute Power,Win,0,354.0,354,94,Very Positive,"17 May, 2010",4882,"9,99€",0.0,0,"9,99€",Simulation,https://store.steampowered.com/app/57600/Tropico_3_Absolute_Power/?snr=1_7_7_240_150_19,"Simulation, Strategy, City Builder"
1786,"Warhammer 40,000: Battlesector - Sisters of Battle",Win,0,29.0,29,75,Mostly Positive,"13 Dec, 2022",289,"14,79€",0.0,0,"14,79€",Strategy,https://store.steampowered.com/app/2011980/Warhammer_40000_Battlesector__Sisters_of_Battle/?snr=1_7_7_240_150_19,Strategy
1787,Ni no Kuni™ II: Revenant Kingdom,Win,0,7250.0,7250,83,Very Positive,"23 Mar, 2018",2015,"59,99€",0.0,0,"59,99€",RPG,https://store.steampowered.com/app/589360/Ni_no_Kuni_II_Revenant_Kingdom/?snr=1_7_7_240_150_19,"RPG, JRPG, Anime"
1788,Final Upgrade,Win,0,339.0,339,80,Very Positive,"6 Dec, 2022",296,"16,79€",0.0,0,"16,79€",Automation,https://store.steampowered.com/app/919260/Final_Upgrade/?snr=1_7_7_240_150_19,"Automation, Crafting, Base Building"
1789,War Planet Online: Global Conquest,Win,0,768.0,0,0,,"19 Dec, 2017",2109,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/719640/War_Planet_Online_Global_Conquest/?snr=1_7_7_240_150_19,"Free to Play, Strategy, Massively Multiplayer"
1790,Brothers in Arms: Hell's Highway™,Win,0,1703.0,1703,90,Very Positive,"8 Oct, 2008",5468,"9,99€",0.0,0,"9,99€",World War II,https://store.steampowered.com/app/15390/Brothers_in_Arms_Hells_Highway/?snr=1_7_7_240_150_19,"World War II, Action, FPS"
1791,Cross Tails,Win,0,38.0,38,76,Mostly Positive,"19 Jul, 2023",71,"29,99€",0.0,0,"29,99€",Simulation,https://store.steampowered.com/app/2106560/Cross_Tails/?snr=1_7_7_240_150_19,"Simulation, Strategy RPG, Fantasy"
1792,Armello - The Bandit Clan,"Win, Mac, Linux",1,59.0,59,93,Very Positive,"26 Apr, 2017",2346,"9,99€",0.0,0,"9,99€",RPG,https://store.steampowered.com/app/398916/Armello__The_Bandit_Clan/?snr=1_7_7_240_150_19,"RPG, Indie, Strategy"
1793,Dungeons of Aether,"Win, Mac",1,351.0,351,80,Very Positive,"28 Feb, 2023",212,"14,79€",0.0,0,"14,79€",Strategy,https://store.steampowered.com/app/1668290/Dungeons_of_Aether/?snr=1_7_7_240_150_19,"Strategy, Turn-Based Strategy, Pixel Graphics"
1794,Minion Masters - Premium Upgrade,"Win, Mac",1,94.0,94,73,Mostly Positive,"2 Dec, 2016",2491,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/551880/Minion_Masters__Premium_Upgrade/?snr=1_7_7_240_150_19,"Strategy, Action, Indie"
1795,Mashinky,Win,0,2050.0,2050,86,Very Positive,"6 Oct, 2018",1818,"22,99€",0.0,0,"22,99€",Early Access,https://store.steampowered.com/app/598960/Mashinky/?snr=1_7_7_240_150_19,"Early Access, Strategy, Simulation"
1796,Scythe: Digital Edition - Invaders from Afar,"Win, Mac",1,13.0,13,76,Mostly Positive,"29 May, 2019",1583,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/1021190/Scythe_Digital_Edition__Invaders_from_Afar/?snr=1_7_7_240_150_19,"Strategy, Board Game"
1797,Motorsport Manager - GT Series,"Win, Mac, Linux",1,43.0,43,81,Positive,"23 Feb, 2017",2408,"7,99€",100.0,1,0,Racing,https://store.steampowered.com/app/559430/Motorsport_Manager__GT_Series/?snr=1_7_7_240_150_19,"Racing, Sports, Strategy"
1798,A Monster's Expedition,"Win, Mac, Linux",1,935.0,935,95,Overwhelmingly Positive,"10 Sep, 2020",1113,"24,50€",0.0,0,"24,50€",Puzzle,https://store.steampowered.com/app/1052990/A_Monsters_Expedition/?snr=1_7_7_240_150_19,"Puzzle, Open World, Adventure"
1799,Unmatched: Digital Edition,"Win, Mac",1,161.0,161,76,Mostly Positive,"28 Feb, 2023",212,"16,79€",0.0,0,"16,79€",Casual,https://store.steampowered.com/app/1677980/Unmatched_Digital_Edition/?snr=1_7_7_240_150_19,"Casual, Strategy, Board Game"
1800,Men of War™,Win,0,2721.0,2721,89,Very Positive,"6 May, 2009",5258,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/7830/Men_of_War/?snr=1_7_7_240_150_19,"Strategy, World War II, RTS"
1801,Door Kickers: Action Squad,Win,0,7679.0,7679,95,Overwhelmingly Positive,"10 Sep, 2018",1844,"11,99€",0.0,0,"11,99€",Pixel Graphics,https://store.steampowered.com/app/686200/Door_Kickers_Action_Squad/?snr=1_7_7_240_150_19,"Pixel Graphics, Action, Co-op"
1802,The Settlers® : Rise of an Empire - History Edition,Win,0,472.0,472,78,Mostly Positive,"22 Jan, 2019",1710,"11,99€",0.0,0,"11,99€",Strategy,https://store.steampowered.com/app/965310/The_Settlers__Rise_of_an_Empire__History_Edition/?snr=1_7_7_240_150_19,"Strategy, City Builder, Medieval"
1803,Anarchy Online: Rubi-Ka New Colonist Bundle,Win,0,11.0,11,90,Positive,"22 Feb, 2017",2409,"19,99€",100.0,1,0,RPG,https://store.steampowered.com/app/579320/Anarchy_Online_RubiKa_New_Colonist_Bundle/?snr=1_7_7_240_150_19,"RPG, Massively Multiplayer, Free to Play"
1804,Iratus: Wrath of the Necromancer,"Win, Mac, Linux",1,107.0,107,83,Very Positive,"26 Oct, 2020",1067,"14,99€",0.0,0,"14,99€",Strategy,https://store.steampowered.com/app/1293280/Iratus_Wrath_of_the_Necromancer/?snr=1_7_7_240_150_19,"Strategy, RPG, Indie"
1805,Insurgency,"Win, Mac, Linux",1,86222.0,86222,92,Very Positive,"22 Jan, 2014",3536,"12,49€",0.0,0,"12,49€",FPS,https://store.steampowered.com/app/222880/Insurgency/?snr=1_7_7_240_150_19,"FPS, Realistic, Tactical"
1806,Shadow Tactics: Blades of the Shogun - Artbook & Strategy Guide,"Win, Mac, Linux",1,50.0,50,90,Very Positive,"20 Dec, 2016",2473,"2,99€",0.0,0,"2,99€",Strategy,https://store.steampowered.com/app/571410/Shadow_Tactics_Blades_of_the_Shogun__Artbook__Strategy_Guide/?snr=1_7_7_240_150_19,"Strategy, Indie"
1807,Sanctum 2,"Win, Mac, Linux",1,7185.0,7185,92,Very Positive,"15 May, 2013",3788,"14,79€",0.0,0,"14,79€",Tower Defense,https://store.steampowered.com/app/210770/Sanctum_2/?snr=1_7_7_240_150_19,"Tower Defense, FPS, Co-op"
1808,Space Rangers HD: A War Apart,Win,0,4695.0,4695,94,Very Positive,"17 Oct, 2013",3633,"14,99€",0.0,0,"14,99€",Space,https://store.steampowered.com/app/214730/Space_Rangers_HD_A_War_Apart/?snr=1_7_7_240_150_19,"Space, RPG, Strategy"
1809,Prison Architect - Undead,"Win, Mac, Linux",1,82.0,0,0,,"11 Oct, 2022",352,"2,99€",0.0,0,"2,99€",Strategy,https://store.steampowered.com/app/2154010/Prison_Architect__Undead/?snr=1_7_7_240_150_19,"Strategy, Simulation, Indie"
1810,Mass Effect™ 3 N7 Digital Deluxe Edition (2012),Win,0,1581.0,1581,71,Mostly Positive,"11 Jun, 2020",1204,"29,99€",0.0,0,"29,99€",Sci-fi,https://store.steampowered.com/app/1238020/Mass_Effect_3_N7_Digital_Deluxe_Edition_2012/?snr=1_7_7_240_150_19,"Sci-fi, Action, Choices Matter"
1811,Rebuild 3: Gangs of Deadsville,"Win, Mac",1,1275.0,1275,86,Very Positive,"29 May, 2015",3044,"14,79€",0.0,0,"14,79€",Colony Sim,https://store.steampowered.com/app/257170/Rebuild_3_Gangs_of_Deadsville/?snr=1_7_7_240_150_19,"Colony Sim, 4X, Survival"
1812,Five Nations,Win,0,177.0,177,82,Very Positive,"4 May, 2021",877,"16,79€",0.0,0,"16,79€",Strategy,https://store.steampowered.com/app/1565670/Five_Nations/?snr=1_7_7_240_150_19,"Strategy, RTS, Singleplayer"
1813,Hellslave,Win,0,442.0,442,79,Mostly Positive,"26 May, 2022",490,"19,99€",100.0,1,0,RPG,https://store.steampowered.com/app/1608450/Hellslave/?snr=1_7_7_240_150_19,"RPG, Dungeon Crawler, Turn-Based Combat"
1814,Arena Renovation,Win,0,140.0,140,84,Very Positive,"27 Mar, 2023",185,"12,49€",0.0,0,"12,49€",Early Access,https://store.steampowered.com/app/948880/Arena_Renovation/?snr=1_7_7_240_150_19,"Early Access, Indie, Immersive Sim"
1815,Imperator: Rome - Epirus Content Pack,"Win, Mac, Linux",1,53.0,53,84,Very Positive,"11 Aug, 2020",1143,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/978951/Imperator_Rome__Epirus_Content_Pack/?snr=1_7_7_240_150_19,"Strategy, Simulation"
1816,Griftlands,"Win, Mac, Linux",1,12231.0,12231,94,Very Positive,"1 Jun, 2021",849,"16,79€",0.0,0,"16,79€",Card Battler,https://store.steampowered.com/app/601840/Griftlands/?snr=1_7_7_240_150_19,"Card Battler, Roguelite, Deckbuilding"
1817,Attack at Dawn: North Africa,Win,0,52.0,52,92,Very Positive,"7 Jun, 2022",478,"28,99€",0.0,0,"28,99€",Strategy,https://store.steampowered.com/app/1383640/Attack_at_Dawn_North_Africa/?snr=1_7_7_240_150_19,"Strategy, World War II, RTS"
1818,Blackwake,"Win, Mac",1,20560.0,20560,82,Very Positive,"19 Feb, 2020",1317,"3,99€",0.0,0,"3,99€",Pirates,https://store.steampowered.com/app/420290/Blackwake/?snr=1_7_7_240_150_19,"Pirates, Multiplayer, Naval Combat"
1819,Hyperdimension Neptunia Re;Birth1,Win,0,9801.0,9801,94,Very Positive,"29 Jan, 2015",3164,"12,49€",0.0,0,"12,49€",Anime,https://store.steampowered.com/app/282900/Hyperdimension_Neptunia_ReBirth1/?snr=1_7_7_240_150_19,"Anime, JRPG, Female Protagonist"
1820,Curious Expedition 2,Win,0,2925.0,2925,89,Very Positive,"28 Jan, 2021",973,"19,99€",0.0,0,"19,99€",Turn-Based,https://store.steampowered.com/app/1040230/Curious_Expedition_2/?snr=1_7_7_240_150_19,"Turn-Based, Tabletop, Comic Book"
1821,Tropico 6 - Original Soundtrack,Music,0,17.0,17,76,Mostly Positive,"6 Apr, 2020",1270,"6,99€",0.0,0,"6,99€",Strategy,https://store.steampowered.com/app/1224940/Tropico_6__Original_Soundtrack/?snr=1_7_7_240_150_19,"Strategy, Simulation, Soundtrack"
1822,Super Seducer : How to Talk to Girls,"Win, Mac",1,1472.0,1472,84,Very Positive,"6 Mar, 2018",2032,"12,99€",0.0,0,"12,99€",Sexual Content,https://store.steampowered.com/app/695920/Super_Seducer__How_to_Talk_to_Girls/?snr=1_7_7_240_150_19,"Sexual Content, Simulation, Dating Sim"
1823,Breach Wanderers,Win,0,196.0,196,91,Very Positive,"9 Jun, 2023",111,"12,49€",0.0,0,"12,49€",Roguelike Deckbuilder,https://store.steampowered.com/app/1394130/Breach_Wanderers/?snr=1_7_7_240_150_19,"Roguelike Deckbuilder, Deckbuilding, Card Battler"
1824,Gunpoint,"Win, Mac, Linux",1,9507.0,9507,97,Overwhelmingly Positive,"3 Jun, 2013",3769,"7,00€",0.0,0,"7,00€",Stealth,https://store.steampowered.com/app/206190/Gunpoint/?snr=1_7_7_240_150_19,"Stealth, Indie, Puzzle"
1825,Anno 1800 - Sunken Treasure,Win,0,12.0,0,0,,"30 Jul, 2019",1521,"11,99€",0.0,0,"11,99€",Simulation,https://store.steampowered.com/app/1125790/Anno_1800__Sunken_Treasure/?snr=1_7_7_240_150_20,"Simulation, Strategy"
1826,Dungeon of the ENDLESS™ - Rescue Team Add-on,"Win, Mac",1,25.0,25,92,Positive,"24 Nov, 2015",2865,"1,99€",0.0,0,"1,99€",Strategy,https://store.steampowered.com/app/407200/Dungeon_of_the_ENDLESS__Rescue_Team_Addon/?snr=1_7_7_240_150_20,"Strategy, Adventure, RPG"
1827,Disgaea PC,Win,0,3786.0,3786,87,Very Positive,"24 Feb, 2016",2773,"19,99€",0.0,0,"19,99€",Strategy RPG,https://store.steampowered.com/app/405900/Disgaea_PC/?snr=1_7_7_240_150_20,"Strategy RPG, JRPG, Anime"
1828,WarPlan,Win,0,118.0,118,79,Mostly Positive,"26 Mar, 2020",1281,"38,99€",0.0,0,"38,99€",Strategy,https://store.steampowered.com/app/1084790/WarPlan/?snr=1_7_7_240_150_20,"Strategy, Simulation, Wargame"
1829,Rhapsody: A Musical Adventure,Win,0,72.0,72,94,Very Positive,"30 Aug, 2022",394,"19,99€",0.0,0,"19,99€",RPG,https://store.steampowered.com/app/1866430/Rhapsody_A_Musical_Adventure/?snr=1_7_7_240_150_20,"RPG, JRPG, Turn-Based Tactics"
1830,Hyperdimension Neptunia Re;Birth3 V Generation,Win,0,2868.0,2868,95,Overwhelmingly Positive,"30 Oct, 2015",2890,"12,49€",0.0,0,"12,49€",Anime,https://store.steampowered.com/app/353270/Hyperdimension_Neptunia_ReBirth3_V_Generation/?snr=1_7_7_240_150_20,"Anime, JRPG, Female Protagonist"
1831,911 Operator - Special Resources,"Win, Mac",1,145.0,145,77,Mostly Positive,"24 Feb, 2017",2407,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/580730/911_Operator__Special_Resources/?snr=1_7_7_240_150_20,"Strategy, Simulation, Casual"
1832,Tom Clancy's Splinter Cell®,Win,0,2474.0,2474,87,Very Positive,"1 Apr, 2008",5658,"4,99€",0.0,0,"4,99€",Stealth,https://store.steampowered.com/app/13560/Tom_Clancys_Splinter_Cell/?snr=1_7_7_240_150_20,"Stealth, Action, Third Person"
1833,The RPG Engine,"Win, Mac",1,161.0,161,90,Very Positive,"8 Sep, 2023",20,0,100.0,1,0,Dungeons & Dragons,https://store.steampowered.com/app/1818180/The_RPG_Engine/?snr=1_7_7_240_150_20,"Dungeons & Dragons, Choose Your Own Adventure, Tabletop"
1834,Overlord II,Win,0,3349.0,3349,88,Very Positive,"23 Jun, 2009",5210,"8,99€",0.0,0,"8,99€",RPG,https://store.steampowered.com/app/12810/Overlord_II/?snr=1_7_7_240_150_20,"RPG, Villain Protagonist, Fantasy"
1835,Sairento VR,Win,0,1407.0,1407,86,Very Positive,"6 Feb, 2018",2060,"24,99€",0.0,0,"24,99€",Action,https://store.steampowered.com/app/555880/Sairento_VR/?snr=1_7_7_240_150_20,"Action, RPG, Indie"
1836,Makai Kingdom: Reclaimed and Rebound,Win,0,93.0,93,90,Very Positive,"10 May, 2022",506,"19,99€",0.0,0,"19,99€",RPG,https://store.steampowered.com/app/1732060/Makai_Kingdom_Reclaimed_and_Rebound/?snr=1_7_7_240_150_20,"RPG, JRPG, Strategy"
1837,Panzer Corps 2: Axis Operations - 1941,Win,0,36.0,36,83,Positive,"18 Mar, 2021",924,"9,75€",0.0,0,"9,75€",Strategy,https://store.steampowered.com/app/1526010/Panzer_Corps_2_Axis_Operations__1941/?snr=1_7_7_240_150_20,Strategy
1838,Isle of Skye,"Win, Mac, Linux",1,124.0,0,0,,"26 Jul, 2018",1890,"6,99€",100.0,1,0,Casual,https://store.steampowered.com/app/873980/Isle_of_Skye/?snr=1_7_7_240_150_20,"Casual, Strategy, Indie"
1839,Border Officer,Win,0,1077.0,0,0,,"19 Jul, 2019",1532,"9,75€",0.0,0,"9,75€",Simulation,https://store.steampowered.com/app/1057180/Border_Officer/?snr=1_7_7_240_150_20,"Simulation, Action, Indie"
1840,Archon Classic,Win,0,131.0,131,87,Very Positive,"2 Nov, 2010",4713,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/65400/Archon_Classic/?snr=1_7_7_240_150_20,"Strategy, Indie, Remake"
1841,富豪派对,Win,0,667.0,667,88,Very Positive,"14 Aug, 2023",45,"6,89€",0.0,0,"6,89€",Strategy,https://store.steampowered.com/app/2395810/_/?snr=1_7_7_240_150_20,"Strategy, Board Game, Multiplayer"
1842,Tavernacle!,Win,0,18.0,18,88,Positive,"11 Sep, 2023",17,"11,99€",0.0,0,"11,99€",Tower Defense,https://store.steampowered.com/app/1937820/Tavernacle/?snr=1_7_7_240_150_20,"Tower Defense, Co-op, Strategy"
1843,Tin Can,Win,0,683.0,683,88,Very Positive,"12 May, 2022",504,"17,99€",0.0,0,"17,99€",Simulation,https://store.steampowered.com/app/1315980/Tin_Can/?snr=1_7_7_240_150_20,"Simulation, Space, Survival"
1844,Sands of Salzaar - The Ember Saga,Win,0,23.0,23,78,Mostly Positive,"7 Jun, 2023",113,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/2406290/Sands_of_Salzaar__The_Ember_Saga/?snr=1_7_7_240_150_20,"Strategy, Adventure, RPG"
1845,Strategic Command WWII: War in Europe,Win,0,242.0,242,90,Very Positive,"6 Jun, 2017",2305,"38,99€",0.0,0,"38,99€",Strategy,https://store.steampowered.com/app/593030/Strategic_Command_WWII_War_in_Europe/?snr=1_7_7_240_150_20,"Strategy, World War II, Turn-Based"
1846,Sins of a Solar Empire: Rebellion - Minor Factions DLC,Win,0,60.0,60,95,Very Positive,"17 Dec, 2018",1746,"5,89€",0.0,0,"5,89€",Strategy,https://store.steampowered.com/app/974650/Sins_of_a_Solar_Empire_Rebellion__Minor_Factions_DLC/?snr=1_7_7_240_150_20,"Strategy, Indie"
1847,Le Havre: The Inland Port,"Win, Mac, Linux",1,26.0,0,0,,"29 Aug, 2016",2586,"6,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/511820/Le_Havre_The_Inland_Port/?snr=1_7_7_240_150_20,"Strategy, Indie, Casual"
1848,Starpoint Gemini Warlords,Win,0,2915.0,2915,72,Mostly Positive,"23 May, 2017",2319,"31,99€",0.0,0,"31,99€",Space,https://store.steampowered.com/app/419480/Starpoint_Gemini_Warlords/?snr=1_7_7_240_150_20,"Space, RPG, Open World"
1849,Eternal Card Game,"Win, Mac",1,6645.0,6645,77,Mostly Positive,"15 Nov, 2018",1778,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/531640/Eternal_Card_Game/?snr=1_7_7_240_150_20,"Free to Play, Card Game, Card Battler"
1850,Total War: THREE KINGDOMS - Fates Divided,"Win, Mac, Linux",1,601.0,0,0,,"11 Mar, 2021",931,"9,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/1493250/Total_War_THREE_KINGDOMS__Fates_Divided/?snr=1_7_7_240_150_20,"Strategy, Action, Violent"
1851,Impossible Creatures Steam Edition,Win,0,1319.0,1319,95,Overwhelmingly Positive,"11 Nov, 2015",2878,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/324680/Impossible_Creatures_Steam_Edition/?snr=1_7_7_240_150_20,"Strategy, RTS, Cult Classic"
1852,Anarchy Online,Win,0,236.0,236,81,Very Positive,"22 Feb, 2017",2409,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/396280/Anarchy_Online/?snr=1_7_7_240_150_20,"Free to Play, Massively Multiplayer, RPG"
1853,EarthX,"Win, Mac, Linux",1,447.0,447,93,Very Positive,"12 Jul, 2023",78,"28,18€",30.0,1,"19,73€",Simulation,https://store.steampowered.com/app/1069030/EarthX/?snr=1_7_7_240_150_20,"Simulation, Indie, Strategy"
1854,Castle Of Alchemists,Win,0,234.0,234,90,Very Positive,"17 May, 2023",134,"14,79€",0.0,0,"14,79€",Early Access,https://store.steampowered.com/app/1724770/Castle_Of_Alchemists/?snr=1_7_7_240_150_20,"Early Access, Tower Defense, Action RPG"
