,Title,Platforms,Multiplatform,Reviews,Players,Positives,Review_summary,Released,Day_since_release,Price,Discount,On_sale,Final_price,Main_tag,Url,All_tags
4427,Durak!,Win,0,54.0,54,75,Mostly Positive,"14 Sep, 2017",2205,"1,99€",0.0,0,"1,99€",Card Game,https://store.steampowered.com/app/704480/Durak/?snr=1_7_7_240_150_47,"Card Game, Strategy, Indie"
4428,Hearts of Iron III: Italian Vehicle Pack,Win,0,12.0,0,0,,"30 Jul, 2013",3712,"1,99€",0.0,0,"1,99€",Strategy,https://store.steampowered.com/app/214990/Hearts_of_Iron_III_Italian_Vehicle_Pack/?snr=1_7_7_240_150_47,Strategy
4429,Fantasy of Expedition,"Win, Mac",1,596.0,596,81,Very Positive,"13 Sep, 2020",1110,"8,19€",0.0,0,"8,19€",RPG,https://store.steampowered.com/app/780670/Fantasy_of_Expedition/?snr=1_7_7_240_150_47,"RPG, Indie, Strategy"
4430,A Gay's Life,Win,0,241.0,241,96,Very Positive,"20 Nov, 2019",1408,"2,39€",100.0,1,0,LGBTQ+,https://store.steampowered.com/app/1147500/A_Gays_Life/?snr=1_7_7_240_150_47,"LGBTQ+, Indie, Casual"
4431,Wargroove: Double Trouble,Win,0,55.0,55,90,Very Positive,"6 Feb, 2020",1330,0,100.0,1,0,Strategy,https://store.steampowered.com/app/1061140/Wargroove_Double_Trouble/?snr=1_7_7_240_150_47,"Strategy, Indie, Pixel Graphics"
4432,The Cyclist: Tactics,"Win, Mac",1,81.0,81,96,Very Positive,"29 Jul, 2021",791,"14,99€",0.0,0,"14,99€",Cycling,https://store.steampowered.com/app/1237070/The_Cyclist_Tactics/?snr=1_7_7_240_150_47,"Cycling, Management, Simulation"
4433,Geneforge 1,Win,0,303.0,303,92,Very Positive,"1 Dec, 2001",7971,"19,50€",0.0,0,"19,50€",RPG,https://store.steampowered.com/app/200960/Geneforge_1/?snr=1_7_7_240_150_47,"RPG, Indie, Isometric"
4434,Magic of Autumn,Win,0,30.0,30,100,Positive,"17 Feb, 2020",1319,"2,00€",0.0,0,"2,00€",Card Game,https://store.steampowered.com/app/1184450/Magic_of_Autumn/?snr=1_7_7_240_150_47,"Card Game, Exploration, Puzzle"
4435,Alicia Quatermain: Secrets Of The Lost Treasures,"Win, Mac, Linux",1,90.0,90,86,Very Positive,"1 Sep, 2017",2218,"2,99€",0.0,0,"2,99€",Casual,https://store.steampowered.com/app/646470/Alicia_Quatermain_Secrets_Of_The_Lost_Treasures/?snr=1_7_7_240_150_47,"Casual, Strategy, Indie"
4436,Onirim - Solitaire Card Game,Win,0,211.0,211,83,Very Positive,"26 Jul, 2017",2255,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/651470/Onirim__Solitaire_Card_Game/?snr=1_7_7_240_150_47,"Free to Play, Casual, Strategy"
4437,Cosmochoria,"Win, Mac, Linux",1,317.0,317,90,Very Positive,"27 Apr, 2015",3076,"9,99€",100.0,1,0,Action,https://store.steampowered.com/app/293240/Cosmochoria/?snr=1_7_7_240_150_47,"Action, Indie, Adventure"
4438,Onirim - Solitaire Card Game,Win,0,211.0,211,83,Very Positive,"26 Jul, 2017",2255,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/651470/Onirim__Solitaire_Card_Game/?snr=1_7_7_240_150_48,"Free to Play, Casual, Strategy"
4439,Wargroove: Double Trouble,Win,0,55.0,55,90,Very Positive,"6 Feb, 2020",1330,0,100.0,1,0,Strategy,https://store.steampowered.com/app/1061140/Wargroove_Double_Trouble/?snr=1_7_7_240_150_48,"Strategy, Indie, Pixel Graphics"
4440,Dark Quest 2,"Win, Mac",1,533.0,533,83,Very Positive,"6 Mar, 2018",2032,"7,99€",0.0,0,"7,99€",RPG,https://store.steampowered.com/app/453690/Dark_Quest_2/?snr=1_7_7_240_150_48,"RPG, Strategy, Indie"
4441,Grand Ages: Rome,Win,0,532.0,532,75,Mostly Positive,"5 Mar, 2009",5320,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/23450/Grand_Ages_Rome/?snr=1_7_7_240_150_48,"Strategy, City Builder, Simulation"
4442,Where in the World is Carmen Sandiego?,Win,0,73.0,73,79,Mostly Positive,"31 Aug, 2020",1123,"8,19€",0.0,0,"8,19€",Casual,https://store.steampowered.com/app/1246950/Where_in_the_World_is_Carmen_Sandiego/?snr=1_7_7_240_150_48,"Casual, Strategy, Detective"
4443,Romance of the Three Kingdoms VIII with Power Up Kit,Win,0,103.0,0,0,,"29 Aug, 2017",2221,"19,99€",0.0,0,"19,99€",Turn-Based Tactics,https://store.steampowered.com/app/628040/Romance_of_the_Three_Kingdoms_VIII_with_Power_Up_Kit/?snr=1_7_7_240_150_48,"Turn-Based Tactics, Wargame, Immersive Sim"
4444,YORG.io 3,Win,0,222.0,0,0,,"13 Oct, 2019",1446,"5,99€",0.0,0,"5,99€",Strategy,https://store.steampowered.com/app/1134480/YORGio_3/?snr=1_7_7_240_150_48,"Strategy, Casual, Tower Defense"
4445,Help Will Come Tomorrow,"Win, Linux",1,626.0,626,81,Very Positive,"21 Apr, 2020",1255,"24,98€",100.0,1,0,Survival,https://store.steampowered.com/app/1119600/Help_Will_Come_Tomorrow/?snr=1_7_7_240_150_48,"Survival, Adventure, Simulation"
4446,Conquest of Elysium 4,"Win, Mac, Linux",1,500.0,500,89,Very Positive,"16 Nov, 2015",2873,"24,50€",0.0,0,"24,50€",Strategy,https://store.steampowered.com/app/403950/Conquest_of_Elysium_4/?snr=1_7_7_240_150_48,"Strategy, Indie, Turn-Based"
4447,Dungeon Defenders: Awakened,Win,0,3011.0,0,0,,"28 May, 2020",1218,"24,99€",0.0,0,"24,99€",Multiplayer,https://store.steampowered.com/app/1101190/Dungeon_Defenders_Awakened/?snr=1_7_7_240_150_48,"Multiplayer, Online Co-Op, Singleplayer"
4448,Station Manager,Win,0,176.0,176,85,Very Positive,"27 Mar, 2022",550,"7,99€",0.0,0,"7,99€",Simulation,https://store.steampowered.com/app/1842690/Station_Manager/?snr=1_7_7_240_150_48,"Simulation, Casual, Trains"
4449,命运联结,Win,0,75.0,75,98,Very Positive,"21 Sep, 2023",7,0,100.0,1,0,Early Access,https://store.steampowered.com/app/2541430/_/?snr=1_7_7_240_150_48,"Early Access, Adventure, Action"
4450,Iron Order 1919,"Win, Mac",1,193.0,0,0,,"24 Aug, 2022",400,0,100.0,1,0,Simulation,https://store.steampowered.com/app/1997780/Iron_Order_1919/?snr=1_7_7_240_150_48,"Simulation, Strategy, Alternate History"
4451,12 Labours of Hercules,"Win, Mac, Linux",1,2234.0,2234,93,Very Positive,23 mars 2015,3111,"2,99€",0.0,0,"2,99€",Casual,https://store.steampowered.com/app/342580/12_Labours_of_Hercules/?snr=1_7_7_240_150_48,"Casual, Gestion du temps, Stratégie"
4452,Druidstone: The Secret of the Menhir Forest,Win,0,1173.0,1173,83,Very Positive,"15 May, 2019",1597,"20,99€",0.0,0,"20,99€",Turn-Based,https://store.steampowered.com/app/954650/Druidstone_The_Secret_of_the_Menhir_Forest/?snr=1_7_7_240_150_48,"Turn-Based, Strategy, Indie"
4453,Panzer Strategy,Win,0,434.0,0,0,,"31 Aug, 2018",1854,"24,99€",0.0,0,"24,99€",Board Game,https://store.steampowered.com/app/769950/Panzer_Strategy/?snr=1_7_7_240_150_48,"Board Game, Turn-Based Tactics, Education"
4454,Morphblade,Win,0,231.0,231,93,Very Positive,"3 Mar, 2017",2400,"4,99€",0.0,0,"4,99€",Casual,https://store.steampowered.com/app/494720/Morphblade/?snr=1_7_7_240_150_48,"Casual, Indie, Strategy"
4455,Bronze Age - HD Edition,"Win, Mac, Linux",1,293.0,293,77,Mostly Positive,"25 Sep, 2017",2194,"2,99€",0.0,0,"2,99€",Indie,https://store.steampowered.com/app/686900/Bronze_Age__HD_Edition/?snr=1_7_7_240_150_48,"Indie, Singleplayer, Strategy"
4456,All My Gods,Win,0,65.0,65,84,Very Positive,13 oct. 2015,2907,"3,99€",0.0,0,"3,99€",Casual,https://store.steampowered.com/app/404270/All_My_Gods/?snr=1_7_7_240_150_48,"Casual, Simulation de colonies, Stratégie"
4457,X-Morph: Defense - Last Bastion,Win,0,36.0,36,100,Positive,"31 Aug, 2018",1854,"4,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/800342/XMorph_Defense__Last_Bastion/?snr=1_7_7_240_150_48,"Strategy, Action, Indie"
4458,Trivia Vault: Art Trivia,Win,0,35.0,0,0,,"5 May, 2018",1972,"9,99€",0.0,0,"9,99€",Casual,https://store.steampowered.com/app/851710/Trivia_Vault_Art_Trivia/?snr=1_7_7_240_150_48,"Casual, Simulation, Strategy"
4459,Plastic Rebellion,Win,0,14.0,0,0,,"23 Sep, 2020",1100,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/789160/Plastic_Rebellion/?snr=1_7_7_240_150_48,"Strategy, Indie, Casual"
4460,Dwarfs - F2P,"Win, Mac",1,1662.0,1662,85,Very Positive,"18 Oct, 2012",3997,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/213650/Dwarfs__F2P/?snr=1_7_7_240_150_48,"Free to Play, Strategy, Casual"
4461,魔塔三国之群雄争霸,Win,0,50.0,50,88,Very Positive,"23 Jun, 2022",462,"0,99€",0.0,0,"0,99€",Casual,https://store.steampowered.com/app/2014370/_/?snr=1_7_7_240_150_48,"Casual, Strategy, RPG"
4462,ROMBY,Win,0,114.0,114,72,Mostly Positive,"26 Jul, 2017",2255,"0,99€",0.0,0,"0,99€",Casual,https://store.steampowered.com/app/656210/ROMBY/?snr=1_7_7_240_150_48,"Casual, Indie, Strategy"
4463,Natural Instincts: European Forest,Win,0,213.0,0,0,,"22 Jul, 2021",798,"8,19€",0.0,0,"8,19€",Early Access,https://store.steampowered.com/app/1168610/Natural_Instincts_European_Forest/?snr=1_7_7_240_150_48,"Early Access, Casual, God Game"
4464,Defense Zone 2,"Win, Mac, Linux",1,127.0,127,85,Very Positive,"30 May, 2014",3408,"3,29€",0.0,0,"3,29€",Tower Defense,https://store.steampowered.com/app/295630/Defense_Zone_2/?snr=1_7_7_240_150_48,"Tower Defense, Strategy, Indie"
4465,Men of War: Assault Squad - Skirmish Pack,Win,0,28.0,0,0,,"21 Jul, 2011",4452,"1,99€",0.0,0,"1,99€",Strategy,https://store.steampowered.com/app/64013/Men_of_War_Assault_Squad__Skirmish_Pack/?snr=1_7_7_240_150_48,Strategy
4466,YOU DON'T KNOW JACK Vol. 3,Win,0,53.0,53,90,Very Positive,"5 Nov, 2013",3614,"2,99€",0.0,0,"2,99€",Trivia,https://store.steampowered.com/app/259960/YOU_DONT_KNOW_JACK_Vol_3/?snr=1_7_7_240_150_48,"Trivia, Casual, Indie"
4467,方块地牢,Win,0,317.0,317,92,Very Positive,"3 Nov, 2021",694,"1,59€",0.0,0,"1,59€",Strategy,https://store.steampowered.com/app/1783200/_/?snr=1_7_7_240_150_48,"Strategy, Adventure, Word Game"
4468,Freaking Meatbags,"Win, Mac, Linux",1,68.0,68,85,Very Positive,"4 Feb, 2015",3158,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/297060/Freaking_Meatbags/?snr=1_7_7_240_150_48,"Strategy, Indie, Tower Defense"
4469,Space Pirates and Zombies,"Win, Mac, Linux",1,2094.0,2094,92,Very Positive,"15 Aug, 2011",4427,"9,99€",0.0,0,"9,99€",Space,https://store.steampowered.com/app/107200/Space_Pirates_and_Zombies/?snr=1_7_7_240_150_48,"Space, Action, Indie"
4470,The Simulacrum,Win,0,98.0,98,92,Very Positive,"24 Jun, 2023",96,"4,99€",0.0,0,"4,99€",Card Game,https://store.steampowered.com/app/2263510/The_Simulacrum/?snr=1_7_7_240_150_48,"Card Game, Casual, Strategy"
4471,League of Maidens® Haydee Edition,Win,0,13.0,13,84,Positive,"4 Feb, 2022",601,"24,99€",0.0,0,"24,99€",Action,https://store.steampowered.com/app/1484232/League_of_Maidens_Haydee_Edition/?snr=1_7_7_240_150_48,"Action, Adventure, RPG"
4472,九州战歌,Win,0,562.0,562,75,Mostly Positive,"6 Jan, 2022",630,0,100.0,1,0,Adventure,https://store.steampowered.com/app/1739610/_/?snr=1_7_7_240_150_48,"Adventure, Action, RPG"
4473,Europa Universalis IV: Colonial British and French Unit pack,"Win, Mac, Linux",1,17.0,0,0,,"25 Feb, 2014",3502,"1,99€",0.0,0,"1,99€",Strategy,https://store.steampowered.com/app/278711/Europa_Universalis_IV_Colonial_British_and_French_Unit_pack/?snr=1_7_7_240_150_48,"Strategy, Simulation"
4474,NALOGI,Win,0,1466.0,1466,78,Mostly Positive,"17 Mar, 2018",2021,"1,99€",0.0,0,"1,99€",Sexual Content,https://store.steampowered.com/app/810670/NALOGI/?snr=1_7_7_240_150_48,"Sexual Content, Anime, Nudity"
4475,Interplanetary: Enhanced Edition,"Win, Mac, Linux",1,455.0,455,85,Very Positive,"2 Aug, 2017",2248,"14,99€",0.0,0,"14,99€",Strategy,https://store.steampowered.com/app/650220/Interplanetary_Enhanced_Edition/?snr=1_7_7_240_150_48,"Strategy, Simulation, Indie"
4476,Farm for your Life,"Win, Mac, Linux",1,477.0,477,80,Very Positive,"16 Jun, 2014",3391,"9,99€",0.0,0,"9,99€",Farming Sim,https://store.steampowered.com/app/266390/Farm_for_your_Life/?snr=1_7_7_240_150_48,"Farming Sim, Survival, Simulation"
4477,Super Bullet Break,"Win, Mac",1,262.0,262,84,Very Positive,"12 Aug, 2022",412,"19,99€",0.0,0,"19,99€",Turn-Based Tactics,https://store.steampowered.com/app/1767170/Super_Bullet_Break/?snr=1_7_7_240_150_48,"Turn-Based Tactics, Anime, Card Battler"
4478,Element TD,Win,0,72.0,72,76,Mostly Positive,"20 Jan, 2017",2442,"0,99€",0.0,0,"0,99€",Tower Defense,https://store.steampowered.com/app/578350/Element_TD/?snr=1_7_7_240_150_48,"Tower Defense, Real Time Tactics, Indie"
4479,Offworld Trading Company,"Win, Mac",1,3360.0,3360,76,Mostly Positive,"28 Apr, 2016",2709,"28,99€",0.0,0,"28,99€",Replay Value,https://store.steampowered.com/app/271240/Offworld_Trading_Company/?snr=1_7_7_240_150_48,"Replay Value, Atmospheric, 3D"
4480,Startopia,Win,0,767.0,767,90,Very Positive,"10 Oct, 2013",3640,"5,69€",0.0,0,"5,69€",Simulation,https://store.steampowered.com/app/243040/Startopia/?snr=1_7_7_240_150_48,"Simulation, Management, Strategy"
4481,Not The Robots,"Win, Mac, Linux",1,289.0,289,80,Very Positive,"12 Dec, 2013",3577,"9,75€",0.0,0,"9,75€",Indie,https://store.steampowered.com/app/257120/Not_The_Robots/?snr=1_7_7_240_150_48,"Indie, Strategy, Action"
4482,Monster Outbreak,Win,0,75.0,0,0,,"3 Oct, 2022",360,"14,99€",0.0,0,"14,99€",Survival,https://store.steampowered.com/app/1525190/Monster_Outbreak/?snr=1_7_7_240_150_48,"Survival, Co-op, Multiplayer"
4483,Infectonator: Survivors,"Win, Mac",1,874.0,0,0,,"8 Aug, 2016",2607,"9,75€",0.0,0,"9,75€",Zombies,https://store.steampowered.com/app/269310/Infectonator_Survivors/?snr=1_7_7_240_150_48,"Zombies, Strategy, Indie"
4484,Forts - Pro HUD,Win,0,48.0,48,83,Positive,"24 Jun, 2020",1191,"2,93€",0.0,0,"2,93€",Strategy,https://store.steampowered.com/app/1335840/Forts__Pro_HUD/?snr=1_7_7_240_150_48,"Strategy, Action"
4485,Theatre of War 2: Kursk 1943,Win,0,162.0,0,0,,"9 Jul, 2010",4829,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/46360/Theatre_of_War_2_Kursk_1943/?snr=1_7_7_240_150_48,"Strategy, Simulation, World War II"
4486,Monica e a Guarda dos Coelhos,"Win, Mac",1,52.0,52,92,Very Positive,"4 Dec, 2018",1759,"12,49€",0.0,0,"12,49€",Casual,https://store.steampowered.com/app/925900/Monica_e_a_Guarda_dos_Coelhos/?snr=1_7_7_240_150_48,"Casual, Strategy, Indie"
4487,Marvel's Midnight Suns - Blood Storm,Win,0,16.0,16,75,Mostly Positive,"11 May, 2023",140,"14,99€",0.0,0,"14,99€",Strategy,https://store.steampowered.com/app/1922634/Marvels_Midnight_Suns__Blood_Storm/?snr=1_7_7_240_150_48,"Strategy, RPG, Violent"
4488,Tetra Project - 原石计划,Win,0,511.0,511,92,Very Positive,"23 Sep, 2019",1466,"8,19€",0.0,0,"8,19€",Indie,https://store.steampowered.com/app/1017410/Tetra_Project/?snr=1_7_7_240_150_48,"Indie, Strategy, Early Access"
4489,"Warhammer 40,000: Mechanicus - Complete Original Soundtrack",Music,0,42.0,42,100,Positive,"23 Mar, 2020",1284,"9,75€",0.0,0,"9,75€",Strategy,https://store.steampowered.com/app/1236640/Warhammer_40000_Mechanicus__Complete_Original_Soundtrack/?snr=1_7_7_240_150_48,"Strategy, Soundtrack"
4490,Lock's Quest,"Win, Mac, Linux",1,79.0,0,0,,"30 May, 2017",2312,"14,99€",0.0,0,"14,99€",Strategy,https://store.steampowered.com/app/490080/Locks_Quest/?snr=1_7_7_240_150_48,"Strategy, RPG, Indie"
4491,Company of Heroes: Opposing Fronts,Win,0,671.0,671,90,Very Positive,"24 Sep, 2007",5848,"12,99€",0.0,0,"12,99€",Strategy,https://store.steampowered.com/app/9340/Company_of_Heroes_Opposing_Fronts/?snr=1_7_7_240_150_48,"Strategy, RTS, World War II"
4492,Roll Player - The Board Game,"Win, Mac, Linux",1,64.0,64,87,Very Positive,"20 Apr, 2023",161,"14,99€",0.0,0,"14,99€",Board Game,https://store.steampowered.com/app/1939940/Roll_Player__The_Board_Game/?snr=1_7_7_240_150_48,"Board Game, Strategy, Puzzle"
4493,Hidden Dimensions 3,Win,0,78.0,78,84,Very Positive,"12 Oct, 2016",2542,0,100.0,1,0,Strategy,https://store.steampowered.com/app/531540/Hidden_Dimensions_3/?snr=1_7_7_240_150_48,"Strategy, Free to Play, Card Game"
4494,Fantastic Contraption Classic 1 & 2,Win,0,43.0,43,97,Positive,"10 Aug, 2020",1144,"9,75€",0.0,0,"9,75€",Simulation,https://store.steampowered.com/app/1363690/Fantastic_Contraption_Classic_1__2/?snr=1_7_7_240_150_48,"Simulation, Strategy, Physics"
4495,Worlds of Magic,"Win, Mac, Linux",1,340.0,0,0,,"19 Mar, 2015",3115,"9,75€",0.0,0,"9,75€",Strategy,https://store.steampowered.com/app/265970/Worlds_of_Magic/?snr=1_7_7_240_150_48,"Strategy, RPG, Turn-Based"
4496,Commander: Modern War,"Win, Mac, Linux",1,22.0,22,90,Positive,"28 Jan, 2023",243,"9,75€",0.0,0,"9,75€",Strategy,https://store.steampowered.com/app/2214890/Commander_Modern_War/?snr=1_7_7_240_150_48,"Strategy, 4X, Turn-Based Strategy"
4497,三国游侠志,Win,0,67.0,67,82,Very Positive,"2 Feb, 2018",2064,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/781590/_/?snr=1_7_7_240_150_48,"Strategy, Adventure, RPG"
4498,Conflicks - Revolutionary Space Battles,"Win, Mac, Linux",1,72.0,72,81,Very Positive,"5 Nov, 2015",2884,"5,69€",0.0,0,"5,69€",Strategy,https://store.steampowered.com/app/288260/Conflicks__Revolutionary_Space_Battles/?snr=1_7_7_240_150_48,"Strategy, Indie, Action"
4499,恒水中学连环虐杀 / The untold story of hengshui school,Win,0,400.0,400,84,Very Positive,"2 May, 2018",1975,"3,99€",0.0,0,"3,99€",Indie,https://store.steampowered.com/app/682480/__The_untold_story_of_hengshui_school/?snr=1_7_7_240_150_48,"Indie, Casual, Adventure"
4500,Idle Spiral,Win,0,1186.0,1186,81,Very Positive,"30 Apr, 2022",516,0,100.0,1,0,Idler,https://store.steampowered.com/app/1827980/Idle_Spiral/?snr=1_7_7_240_150_48,"Idler, Simulation, Clicker"
4501,The Campaign Series: Fall Weiss,Win,0,32.0,0,0,,"30 May, 2014",3408,"9,75€",0.0,0,"9,75€",Strategy,https://store.steampowered.com/app/283020/The_Campaign_Series_Fall_Weiss/?snr=1_7_7_240_150_48,"Strategy, Indie, World War II"
4502,Politon,"Win, Mac",1,58.0,58,96,Very Positive,"23 Aug, 2023",36,"4,99€",0.0,0,"4,99€",Early Access,https://store.steampowered.com/app/2488470/Politon/?snr=1_7_7_240_150_48,"Early Access, Strategy, Casual"
4503,魔界堕ちのラズリエル -Lazriel: The Demon's Fall-,Win,0,33.0,33,87,Positive,"27 Jul, 2023",63,"14,79€",0.0,0,"14,79€",Card Battler,https://store.steampowered.com/app/1807260/_Lazriel_The_Demons_Fall/?snr=1_7_7_240_150_48,"Card Battler, Turn-Based Tactics, Mystery Dungeon"
4504,Survivalist,Win,0,2083.0,2083,80,Very Positive,"30 Jan, 2015",3163,"4,99€",0.0,0,"4,99€",Survival,https://store.steampowered.com/app/340050/Survivalist/?snr=1_7_7_240_150_48,"Survival, Zombies, RPG"
4505,Pocket Harvest,Win,0,26.0,26,84,Positive,"15 Jan, 2023",256,"7,99€",0.0,0,"7,99€",Simulation,https://store.steampowered.com/app/2019380/Pocket_Harvest/?snr=1_7_7_240_150_48,"Simulation, Strategy, Casual"
4506,Etherlords II,Win,0,307.0,307,86,Very Positive,"13 Feb, 2014",3514,"4,99€",0.0,0,"4,99€",RPG,https://store.steampowered.com/app/270790/Etherlords_II/?snr=1_7_7_240_150_48,"RPG, Card Game, Turn-Based"
4507,面具古墓,Win,0,42.0,42,92,Positive,"30 Oct, 2022",333,"8,19€",0.0,0,"8,19€",Horror,https://store.steampowered.com/app/2073710/_/?snr=1_7_7_240_150_48,"Horror, Psychological Horror, Puzzle"
4508,Beyond Reality,Win,0,116.0,116,77,Mostly Positive,"8 Jan, 2016",2820,"4,99€",0.0,0,"4,99€",RPGMaker,https://store.steampowered.com/app/428100/Beyond_Reality/?snr=1_7_7_240_150_48,"RPGMaker, RPG, Casual"
4509,Dreadlands,Win,0,125.0,0,0,,"10 Mar, 2020",1297,"24,50€",0.0,0,"24,50€",Strategy,https://store.steampowered.com/app/1054690/Dreadlands/?snr=1_7_7_240_150_48,"Strategy, RPG, Turn-Based Tactics"
4510,Herding Dog,"Win, Mac",1,21.0,21,71,Mostly Positive,"15 Jan, 2016",2813,"0,79€",0.0,0,"0,79€",Casual,https://store.steampowered.com/app/409290/Herding_Dog/?snr=1_7_7_240_150_48,"Casual, Simulation, Strategy"
4511,LoliTower,Win,0,27.0,27,77,Mostly Positive,"26 Oct, 2019",1433,"0,79€",0.0,0,"0,79€",Indie,https://store.steampowered.com/app/1160780/LoliTower/?snr=1_7_7_240_150_49,"Indie, Adventure, RPG"
4512,旅者 Travelers,"Win, Mac",1,118.0,118,87,Very Positive,"20 Dec, 2021",647,"2,39€",0.0,0,"2,39€",Adventure,https://store.steampowered.com/app/1720160/_Travelers/?snr=1_7_7_240_150_49,"Adventure, Roguelite, Strategy"
4513,面具古墓,Win,0,42.0,42,92,Positive,"30 Oct, 2022",333,"8,19€",0.0,0,"8,19€",Horror,https://store.steampowered.com/app/2073710/_/?snr=1_7_7_240_150_49,"Horror, Psychological Horror, Puzzle"
4514,Chessformer,Win,0,149.0,149,99,Very Positive,"18 Jan, 2022",618,"3,99€",0.0,0,"3,99€",Chess,https://store.steampowered.com/app/1701190/Chessformer/?snr=1_7_7_240_150_49,"Chess, Puzzle, Difficult"
4515,The Riftbreaker: Prologue,Win,0,4088.0,4088,95,Overwhelmingly Positive,"5 Aug, 2020",1149,0,100.0,1,0,Base Building,https://store.steampowered.com/app/1293860/The_Riftbreaker_Prologue/?snr=1_7_7_240_150_49,"Base Building, Strategy, Hack and Slash"
4516,Invisigun Reloaded,"Win, Mac, Linux",1,385.0,385,87,Very Positive,"8 Feb, 2017",2423,"4,99€",0.0,0,"4,99€",Indie,https://store.steampowered.com/app/375750/Invisigun_Reloaded/?snr=1_7_7_240_150_49,"Indie, Action, Casual"
4517,IRON GUARD VR,Win,0,79.0,79,97,Very Positive,"1 Sep, 2021",757,"12,49€",0.0,0,"12,49€",VR,https://store.steampowered.com/app/1213220/IRON_GUARD_VR/?snr=1_7_7_240_150_49,"VR, Tower Defense, Strategy"
4518,100% Orange Juice - Princess Pack,Win,0,27.0,27,88,Positive,"21 Oct, 2021",707,"2,99€",0.0,0,"2,99€",Strategy,https://store.steampowered.com/app/1761020/100_Orange_Juice__Princess_Pack/?snr=1_7_7_240_150_49,"Strategy, Indie"
4519,Figure Simulator War,Win,0,80.0,80,82,Very Positive,"26 Oct, 2019",1433,"8,19€",0.0,0,"8,19€",Action,https://store.steampowered.com/app/1138260/Figure_Simulator_War/?snr=1_7_7_240_150_49,"Action, Strategy, Indie"
4520,Starscape,Win,0,83.0,83,81,Very Positive,"3 Nov, 2008",5442,"6,99€",0.0,0,"6,99€",Action,https://store.steampowered.com/app/20700/Starscape/?snr=1_7_7_240_150_49,"Action, Indie, Strategy"
4521,Pavlov's House,"Win, Mac",1,48.0,48,97,Positive,"26 Feb, 2021",944,"7,39€",0.0,0,"7,39€",Strategy,https://store.steampowered.com/app/1531040/Pavlovs_House/?snr=1_7_7_240_150_49,"Strategy, Board Game, Wargame"
4522,Stellaren II,Win,0,10.0,10,100,Positive,"23 Jul, 2020",1162,"3,29€",0.0,0,"3,29€",Visual Novel,https://store.steampowered.com/app/1365490/Stellaren_II/?snr=1_7_7_240_150_49,"Visual Novel, Anime, Sci-fi"
4523,Spellsword Cards: Origins,Win,0,58.0,0,0,,"6 Jun, 2019",1575,"8,19€",0.0,0,"8,19€",Roguelike Deckbuilder,https://store.steampowered.com/app/1070190/Spellsword_Cards_Origins/?snr=1_7_7_240_150_49,"Roguelike Deckbuilder, Roguelite, Deckbuilding"
4524,Methods: The Detective Competition,"Win, Mac, Linux",1,374.0,374,92,Very Positive,"1 Jun, 2020",1214,"19,50€",0.0,0,"19,50€",Visual Novel,https://store.steampowered.com/app/1271300/Methods_The_Detective_Competition/?snr=1_7_7_240_150_49,"Visual Novel, Indie, Detective"
4525,ChessBase 16 Steam Edition,Win,0,33.0,33,93,Positive,"20 Apr, 2021",891,"84,99€",0.0,0,"84,99€",Strategy,https://store.steampowered.com/app/1497080/ChessBase_16_Steam_Edition/?snr=1_7_7_240_150_49,"Strategy, Chess, Board Game"
4526,Galcon 2: Galactic Conquest,"Win, Mac, Linux",1,844.0,844,84,Very Positive,"5 Dec, 2014",3219,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/294160/Galcon_2_Galactic_Conquest/?snr=1_7_7_240_150_49,"Free to Play, Strategy, Indie"
4527,Quar: Battle for Gate 18,Win,0,53.0,53,90,Very Positive,"4 Apr, 2016",2733,"12,99€",0.0,0,"12,99€",Strategy,https://store.steampowered.com/app/436940/Quar_Battle_for_Gate_18/?snr=1_7_7_240_150_49,"Strategy, Action, VR"
4528,Goo Gladiators,Win,0,77.0,77,83,Very Positive,"22 Sep, 2022",371,0,100.0,1,0,Strategy,https://store.steampowered.com/app/1966500/Goo_Gladiators/?snr=1_7_7_240_150_49,"Strategy, Cartoony, PvP"
4529,Dungeon Rats,Win,0,507.0,507,77,Mostly Positive,"4 Nov, 2016",2519,"7,79€",0.0,0,"7,79€",Tactical RPG,https://store.steampowered.com/app/531930/Dungeon_Rats/?snr=1_7_7_240_150_49,"Tactical RPG, Turn-Based Tactics, Party-Based RPG"
4530,Madcap Mosaic,Win,0,54.0,54,98,Very Positive,"15 Aug, 2022",409,"5,69€",0.0,0,"5,69€",Strategy,https://store.steampowered.com/app/1964330/Madcap_Mosaic/?snr=1_7_7_240_150_49,"Strategy, Roguelite, Deckbuilding"
