,Title,Platforms,Multiplatform,Reviews,Players,Positives,Review_summary,Released,Day_since_release,Price,Discount,On_sale,Final_price,Main_tag,Url,All_tags
4342,Voodolls,Win,0,14.0,0,0,,"11 May, 2023",140,"14,99€",100.0,1,0,Tower Defense,https://store.steampowered.com/app/2144830/Voodolls/?snr=1_7_7_240_150_46,"Tower Defense, Online Co-Op, Action"
4343,Warplan Pacific,Win,0,28.0,28,82,Positive,"17 Mar, 2022",560,"38,99€",0.0,0,"38,99€",Strategy,https://store.steampowered.com/app/1896160/Warplan_Pacific/?snr=1_7_7_240_150_46,"Strategy, Turn-Based Strategy, Turn-Based Tactics"
4344,Chaos Sector 混沌宙域,Win,0,71.0,71,77,Mostly Positive,"8 Oct, 2018",1816,"9,75€",0.0,0,"9,75€",Strategy,https://store.steampowered.com/app/943810/Chaos_Sector/?snr=1_7_7_240_150_46,"Strategy, Turn-Based Tactics, Mechs"
4345,100% Orange Juice - Sweet Gods Pack,Win,0,20.0,20,100,Positive,"29 Dec, 2022",273,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/2242260/100_Orange_Juice__Sweet_Gods_Pack/?snr=1_7_7_240_150_46,"Strategy, Indie"
4346,Dominions 4: Thrones of Ascension,"Win, Mac, Linux",1,1115.0,1115,89,Very Positive,"5 Dec, 2013",3584,"33,99€",0.0,0,"33,99€",Strategy,https://store.steampowered.com/app/259060/Dominions_4_Thrones_of_Ascension/?snr=1_7_7_240_150_46,"Strategy, Turn-Based Strategy, Indie"
4347,Bilattice,Win,0,37.0,37,83,Positive,"22 Jul, 2023",68,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/2486430/Bilattice/?snr=1_7_7_240_150_46,"Strategy, Puzzle, 2D"
4348,Space Tyrant,"Win, Mac, Linux",1,512.0,512,85,Very Positive,"27 Feb, 2018",2039,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/562230/Space_Tyrant/?snr=1_7_7_240_150_46,"Strategy, Indie, Turn-Based Strategy"
4349,Tower Of God: One Wish,"Win, Mac, Linux",1,15.0,15,93,Positive,"17 Jan, 2020",1350,"6,59€",0.0,0,"6,59€",Match 3,https://store.steampowered.com/app/1199010/Tower_Of_God_One_Wish/?snr=1_7_7_240_150_46,"Match 3, Hidden Object, Puzzle"
4350,Holy Avatar vs. Maidens of the Dead,Win,0,103.0,0,0,,"20 Feb, 2014",3507,"9,99€",100.0,1,0,RPG,https://store.steampowered.com/app/261720/Holy_Avatar_vs_Maidens_of_the_Dead/?snr=1_7_7_240_150_46,"RPG, Casual, Indie"
4351,Rebuild 3: Gangs of Deadsville - Deluxe Add-on,"Win, Mac",1,17.0,17,94,Positive,"16 May, 2014",3422,"9,75€",0.0,0,"9,75€",Indie,https://store.steampowered.com/app/301140/Rebuild_3_Gangs_of_Deadsville__Deluxe_Addon/?snr=1_7_7_240_150_46,"Indie, Simulation, Strategy"
4352,魔導聖戰:風色幻想,Win,0,85.0,85,85,Very Positive,"8 Aug, 2022",416,"1,59€",0.0,0,"1,59€",Adventure,https://store.steampowered.com/app/2020480/_/?snr=1_7_7_240_150_46,"Adventure, Strategy, RPG"
4353,Photo Quiz - Animals,Win,0,11.0,11,81,Positive,"13 Dec, 2019",1385,"0,99€",0.0,0,"0,99€",Trivia,https://store.steampowered.com/app/1203580/Photo_Quiz__Animals/?snr=1_7_7_240_150_46,"Trivia, Word Game, Spelling"
4354,Skybox3D,"Win, Mac, Linux",1,112.0,112,91,Very Positive,"9 Jun, 2021",841,0,100.0,1,0,Strategy,https://store.steampowered.com/app/1549660/Skybox3D/?snr=1_7_7_240_150_46,"Strategy, Utilities, Education"
4355,MegaGlest,"Win, Linux",1,52.0,52,92,Very Positive,"31 Mar, 2017",2372,"0,99€",0.0,0,"0,99€",Strategy,https://store.steampowered.com/app/578870/MegaGlest/?snr=1_7_7_240_150_46,"Strategy, Indie, Real-Time"
4356,Freedom Force vs. the Third Reich,Win,0,216.0,216,87,Very Positive,"29 May, 2009",5235,"3,99€",0.0,0,"3,99€",RPG,https://store.steampowered.com/app/8890/Freedom_Force_vs_the_Third_Reich/?snr=1_7_7_240_150_46,"RPG, Strategy, Superhero"
4357,Plank Road,Win,0,19.0,19,73,Mostly Positive,"8 Dec, 2022",294,"1,99€",0.0,0,"1,99€",Strategy,https://store.steampowered.com/app/1960570/Plank_Road/?snr=1_7_7_240_150_46,"Strategy, Medieval, City Builder"
4358,War of Omens Card Game,"Win, Mac",1,647.0,647,85,Very Positive,"18 Feb, 2019",1683,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/345460/War_of_Omens_Card_Game/?snr=1_7_7_240_150_46,"Free to Play, Strategy, Indie"
